Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,311000000,346000000,321000000,329000000
effectOfAccountingCharges,,,,
incomeBeforeTax,321000000,465000000,638000000,759000000
minorityInterest,,,,
netIncome,280000000,395000000,564000000,639000000
sellingGeneralAdministrative,497000000,434000000,472000000,387000000
grossProfit,1159000000,1289000000,1505000000,1543000000
ebit,351000000,509000000,712000000,827000000
operatingIncome,351000000,509000000,712000000,827000000
otherOperatingExpenses,,,,
interestExpense,-27000000,-14000000,-27000000,-27000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,41000000,70000000,74000000,120000000
totalRevenue,1644000000,1768000000,2163000000,2070000000
totalOperatingExpenses,1293000000,1259000000,1451000000,1243000000
costOfRevenue,485000000,479000000,658000000,527000000
totalOtherIncomeExpenseNet,-30000000,-43000000,-74000000,-68000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,280000000,395000000,564000000,639000000
netIncomeApplicableToCommonShares,280000000,395000000,564000000,639000000
intangibleAssets,577000000,734000000,658000000,798000000
capitalSurplus,12069000000,11927000000,11715000000,11640000000
totalLiab,6746000000,7181000000,7457000000,7027000000
totalStockholderEquity,18248000000,17831000000,17599000000,16950000000
otherCurrentLiab,847000000,835000000,1262000000,847000000
totalAssets,24994000000,25012000000,25056000000,23977000000
otherCurrentAssets,1202000000,989000000,981000000,626000000
retainedEarnings,12333000000,12053000000,12025000000,11460000000
otherLiab,1113000000,1282000000,1226000000,1404000000
goodWill,9931000000,9799000000,9799000000,9765000000
treasuryStock,-6154000000,-6149000000,-6141000000,-6150000000
otherAssets,1804000000,1819000000,1637000000,2032000000
cash,10483000000,10967000000,10423000000,9718000000
totalCurrentLiabilities,2024000000,2291000000,2411000000,2016000000
deferredLongTermAssetCharges,1259000000,1308000000,1377000000,1400000000
otherStockholderEquity,-591000000,-586000000,-578000000,-587000000
propertyPlantEquipment,175000000,174000000,406000000,171000000
totalCurrentAssets,12507000000,12486000000,12556000000,11211000000
netTangibleAssets,7740000000,7298000000,7142000000,6387000000
shortTermInvestments,250000000,168000000,180000000,282000000
netReceivables,572000000,530000000,972000000,585000000
longTermDebt,3609000000,3608000000,3608000000,3607000000
accountsPayable,197000000,207000000,285000000,248000000
