Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,91378000,99859000,93173000,82899000
effectOfAccountingCharges,,,,
incomeBeforeTax,170595000,170595000,179550000,192564000
minorityInterest,,,,
netIncome,119537000,0,160534000,178916000
sellingGeneralAdministrative,264394000,265289000,261157000,241463000
grossProfit,558272000,571070000,579955000,543467000
ebit,185528000,192278000,213052000,207146000
operatingIncome,185528000,192278000,213052000,207146000
otherOperatingExpenses,,,,
interestExpense,-2932000,-2932000,-18317000,-18144000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,51058000,0,19016000,13648000
totalRevenue,903332000,0,905358000,860333000
totalOperatingExpenses,717804000,711369000,692306000,653187000
costOfRevenue,345060000,332577000,325403000,316866000
totalOtherIncomeExpenseNet,-14933000,-36370000,-33502000,-14582000
discontinuedOperations,,,,
netIncomeFromContinuingOps,119537000,119537000,160534000,178916000
netIncomeApplicableToCommonShares,119537000,119537000,160534000,178916000
intangibleAssets,476707000.0,,313225000.0,203596000.0
capitalSurplus,3054200000.0,2974529000.0,3340822000.0,3789623000.0
totalLiab,3930576000.0,,3608659000.0,3533030000.0
totalStockholderEquity,4280478000.0,,4530014000.0,4582445000.0
deferredLongTermLiab,26865000.0,28290000.0,30436000.0,27551000.0
otherCurrentLiab,117088000.0,,166086000.0,92540000.0
totalAssets,8211054000.0,,8138673000.0,8115475000.0
commonStock,1620000.0,1615000.0,1605000.0,1647000.0
otherCurrentAssets,37192000.0,39948000.0,92243000.0,42299000.0
retainedEarnings,1635379000.0,1515842000.0,1256692000.0,1096158000.0
otherLiab,151424000.0,,135064000.0,120738000.0
goodWill,2763828000.0,,2156254000.0,1680496000.0
treasuryStock,-410721000.0,-191464000.0,-69105000.0,-304983000.0
otherAssets,424506000.0,,303129000.0,270095000.0
cash,426710000.0,,536725000.0,1264590000.0
totalCurrentLiabilities,817084000.0,,790341000.0,731440000.0
deferredLongTermAssetCharges,292817000.0,,168342000.0,136305000.0
otherStockholderEquity,-143079000.0,-88611000.0,-69105000.0,-53726000.0
propertyPlantEquipment,2339188000.0,,2350083000.0,2364334000.0
totalCurrentAssets,1566157000.0,,1920434000.0,2761880000.0
longTermInvestments,640668000.0,,1095548000.0,835074000.0
netTangibleAssets,1039943000.0,,2060535000.0,2698353000.0
shortTermInvestments,263979000.0,,541470000.0,652695000.0
netReceivables,668425000.0,,675926000.0,660092000.0
longTermDebt,2283037000.0,,1976167000.0,1958558000.0
accountsPayable,131649000.0,,109928000.0,98305000.0
