Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,15468000000,12270000000,21577000000,12097000000
effectOfAccountingCharges,,,,
incomeBeforeTax,-2665000000,-5266000000,14935000000,4311000000
minorityInterest,,,,
netIncome,-2028000000,-3844000000,14323000000,3156000000
sellingGeneralAdministrative,35935000000,33757000000,29516000000,30944000000
grossProfit,54810000000,49945000000,54577000000,47882000000
ebit,3317000000,3669000000,3460000000,4852000000
operatingIncome,3317000000,3669000000,3460000000,4852000000
otherOperatingExpenses,90000000,249000000,24000000,-11000000
interestExpense,-584000000,-472000000,-482000000,-493000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-637000000,-1422000000,612000000,1155000000
totalRevenue,121234000000,116444000000,137412000000,110812000000
totalOperatingExpenses,117917000000,112775000000,133952000000,105960000000
costOfRevenue,66424000000,66499000000,82835000000,62930000000
totalOtherIncomeExpenseNet,-5982000000,-8935000000,11475000000,-541000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-2028000000,-3844000000,14323000000,3156000000
netIncomeApplicableToCommonShares,-2028000000,-3844000000,14323000000,3156000000
capitalSurplus,63871000000.0,58793000000.0,55538000000.0,51879000000.0
totalLiab,288326000000.0,276766000000.0,282304000000.0,261842000000.0
totalStockholderEquity,131402000000.0,134001000000.0,138245000000.0,120564000000.0
otherCurrentLiab,12818000000.0,12820000000.0,18027000000.0,10974000000.0
totalAssets,419728000000.0,410767000000.0,420549000000.0,382406000000.0
commonStock,107000000.0,5000000.0,5000000.0,5000000.0
otherCurrentAssets,207000000.0,191000000.0,242000000.0,218000000.0
retainedEarnings,80043000000.0,82071000000.0,85915000000.0,71592000000.0
otherLiab,16658000000.0,17171000000.0,17443000000.0,18145000000.0
goodWill,20195000000.0,20229000000.0,15371000000.0,15345000000.0
treasuryStock,-12619000000.0,-6868000000.0,-3213000000.0,-2912000000.0
otherAssets,30562000000.0,28076000000.0,18125000000.0,22027000000.0
cash,37478000000.0,36393000000.0,36220000000.0,29944000000.0
totalCurrentLiabilities,140291000000.0,139508000000.0,142266000000.0,123994000000.0
shortLongTermDebt,5249000000.0,2898000000.0,1687000000.0,1185000000.0
otherStockholderEquity,-4782000000.0,-2365000000.0,-1376000000.0,-1075000000.0
propertyPlantEquipment,232136000000.0,224629000000.0,216363000000.0,199303000000.0
totalCurrentAssets,133667000000.0,133876000000.0,161580000000.0,138531000000.0
longTermInvestments,3168000000.0,3957000000.0,4003000000.0,7200000000.0
netTangibleAssets,111207000000.0,113772000000.0,117767000000.0,105219000000.0
shortTermInvestments,23232000000.0,29992000000.0,59829000000.0,49044000000.0
netReceivables,34597000000.0,32313000000.0,32649000000.0,28392000000.0
longTermDebt,64853000000.0,54356000000.0,54944000000.0,55855000000.0
inventory,38153000000.0,34987000000.0,32640000000.0,30933000000.0
accountsPayable,71219000000.0,68547000000.0,78664000000.0,71474000000.0
intangibleAssets,,,5107000000.0,
