Breakdown,2022-06-25,2022-03-26,2021-12-25,2021-09-25
researchDevelopment,6797000000,6387000000,6306000000,5772000000
effectOfAccountingCharges,,,,
incomeBeforeTax,23066000000,30139000000,41241000000,23248000000
minorityInterest,,,,
netIncome,19442000000,25010000000,34630000000,20551000000
sellingGeneralAdministrative,6012000000,6193000000,6449000000,5616000000
grossProfit,35885000000,42559000000,54243000000,35174000000
ebit,23076000000,29979000000,41488000000,23786000000
operatingIncome,23076000000,29979000000,41488000000,23786000000
otherOperatingExpenses,,,,
interestExpense,-719000000,-691000000,-694000000,-672000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3624000000,5129000000,6611000000,2697000000
totalRevenue,82959000000,97278000000,123945000000,83360000000
totalOperatingExpenses,59883000000,67299000000,82457000000,59574000000
costOfRevenue,47074000000,54719000000,69702000000,48186000000
totalOtherIncomeExpenseNet,-10000000,160000000,-247000000,-538000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,19442000000,25010000000,34630000000,20551000000
netIncomeApplicableToCommonShares,19442000000,25010000000,34630000000,20551000000
totalLiab,278202000000,283263000000,309259000000,287912000000
totalStockholderEquity,58107000000,67399000000,71932000000,63090000000
otherCurrentLiab,56539000000,58168000000,57043000000,53577000000
totalAssets,336309000000,350662000000,381191000000,351002000000
commonStock,62115000000,61181000000,58424000000,57365000000
otherCurrentAssets,16386000000,15809000000,18112000000,14111000000
retainedEarnings,5289000000,12712000000,14435000000,5562000000
otherLiab,53629000000,52432000000,55056000000,43050000000
treasuryStock,-9297000000,-6494000000,-927000000,163000000
otherAssets,52605000000,51959000000,50109000000,38762000000
cash,27502000000,28098000000,37119000000,34940000000
totalCurrentLiabilities,129873000000,127508000000,147574000000,125481000000
shortLongTermDebt,14009000000,9659000000,11169000000,9613000000
otherStockholderEquity,-9297000000,-6494000000,-927000000,163000000
propertyPlantEquipment,40335000000,39304000000,39245000000,49527000000
totalCurrentAssets,112292000000,118180000000,153154000000,134836000000
longTermInvestments,131077000000,141219000000,138683000000,127877000000
netTangibleAssets,58107000000,67399000000,71932000000,63090000000
shortTermInvestments,20729000000,23413000000,26794000000,27699000000
netReceivables,42242000000,45400000000,65253000000,51506000000
longTermDebt,94700000000,103323000000,106629000000,109106000000
inventory,5433000000,5460000000,5876000000,6580000000
accountsPayable,48343000000,52682000000,74362000000,54763000000
