Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6260000000,6589000000,6446000000,7812000000
minorityInterest,17561000000,17520000000,17523000000,17532000000
netIncome,4157000000,4810000000,5043000000,5918000000
sellingGeneralAdministrative,4947000000,4834000000,7994000000,7609000000
grossProfit,17302000000,16977000000,21163000000,22096000000
ebit,7905000000,7681000000,7496000000,8868000000
operatingIncome,7905000000,7681000000,7496000000,8868000000
otherOperatingExpenses,,,,
interestExpense,-1502000000,-1626000000,-1663000000,-1667000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1509000000,1440000000,1056000000,1539000000
totalRevenue,29643000000,29712000000,40958000000,39922000000
totalOperatingExpenses,21738000000,22031000000,33462000000,31054000000
costOfRevenue,12341000000,12735000000,19795000000,17826000000
totalOtherIncomeExpenseNet,-1645000000,-1092000000,-1050000000,-1056000000
discontinuedOperations,-214000000,15000000,15000000,15000000
netIncomeFromContinuingOps,4751000000,5149000000,5390000000,6273000000
netIncomeApplicableToCommonShares,4105000000,4762000000,4992000000,5868000000
intangibleAssets,128928000000,158826000000,159493000000,159266000000
capitalSurplus,122850000000,129637000000,130112000000,130035000000
totalLiab,291126000000,390639000000,367767000000,365804000000
totalStockholderEquity,117746000000,169036000000,166332000000,163771000000
minorityInterest,17561000000,17520000000,17523000000,17532000000
deferredLongTermLiab,7936000000,7847000000,7396000000,7252000000
otherCurrentLiab,5844000000,7269000000,14111000000,8864000000
totalAssets,426433000000,577195000000,551622000000,547107000000
commonStock,7621000000,7621000000,7621000000,7621000000
otherCurrentAssets,5203000000,4960000000,5154000000,6081000000
retainedEarnings,2128000000,45041000000,42350000000,41091000000
otherLiab,91875000000,107003000000,107048000000,106143000000
goodWill,92746000000,133247000000,133223000000,133663000000
treasuryStock,-14853000000,-13263000000,-13751000000,-14976000000
otherAssets,17693000000,51223000000,40208000000,38198000000
cash,4018000000,38565000000,21169000000,21270000000
totalCurrentLiabilities,49189000000,82494000000,85588000000,81601000000
shortLongTermDebt,5814000000,28380000000,13002000000,11956000000
otherStockholderEquity,2307000000,3290000000,3529000000,2343000000
propertyPlantEquipment,146943000000,151100000000,150084000000,148760000000
totalCurrentAssets,34485000000,76856000000,59997000000,57230000000
longTermInvestments,5638000000,5943000000,8617000000,9990000000
netTangibleAssets,-103928000000,-123037000000,-126384000000,-129158000000
shortTermInvestments,83000000,61000000,41000000,65000000
netReceivables,15903000000,17218000000,22378000000,20390000000
longTermDebt,129771000000,180225000000,152386000000,154976000000
inventory,3241000000,3153000000,3464000000,3088000000
accountsPayable,31069000000,46845000000,30756000000,41261000000
