Breakdown,2022-04-30,2022-01-31,2021-10-31,2021-07-31
researchDevelopment,280000000,284500000,272600000,267800000
effectOfAccountingCharges,,,,
incomeBeforeTax,195000000,107100000,187400000,138800000
minorityInterest,,,,
netIncome,146000000,89100000,136700000,115600000
sellingGeneralAdministrative,542000000,556500000,538300000,522800000
grossProfit,1067000000,1112900000,1033500000,968100000
ebit,220000000,247200000,196900000,152800000
operatingIncome,220000000,247200000,196900000,152800000
otherOperatingExpenses,,,,
interestExpense,-29000000,-25800000,-15800000,-12800000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,49000000,18000000,50700000,23200000
totalRevenue,1170000000,1211600000,1125800000,1059700000
totalOperatingExpenses,950000000,964400000,928900000,906900000
costOfRevenue,103000000,98700000,92300000,91600000
totalOtherIncomeExpenseNet,-25000000,-140100000,-9500000,-14000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,146000000,89100000,136700000,115600000
netIncomeApplicableToCommonShares,146000000,89100000,136700000,115600000
intangibleAssets,479000000.0,493800000.0,498200000.0,511300000.0
totalLiab,7580000000.0,7757700000.0,7251100000.0,6092800000.0
totalStockholderEquity,681000000.0,849100000.0,1279900000.0,1327800000.0
otherCurrentLiab,2879000000.0,2903700000.0,2623400000.0,2549700000.0
totalAssets,8261000000.0,8606800000.0,8531000000.0,7420600000.0
commonStock,2972000000.0,2923100000.0,2821400000.0,2780700000.0
otherCurrentAssets,82000000.0,12200000.0,18200000.0,8700000.0
retainedEarnings,-2143000000.0,-1950000000.0,-1439100000.0,-1339500000.0
otherLiab,1153000000.0,1124600000.0,1009800000.0,1008100000.0
goodWill,3642000000.0,3603800000.0,3579200000.0,3562200000.0
treasuryStock,-148000000.0,-124000000.0,-102400000.0,-113400000.0
otherAssets,1278000000.0,1233000000.0,1223700000.0,1218500000.0
cash,1518000000.0,1528400000.0,1748900000.0,923500000.0
totalCurrentLiabilities,3801000000.0,4009400000.0,3281500000.0,3087400000.0
deferredLongTermAssetCharges,759000000.0,740700000.0,740400000.0,739600000.0
shortLongTermDebt,350000000.0,349700000.0,,
otherStockholderEquity,-148000000.0,-124000000.0,-102400000.0,-113400000.0
propertyPlantEquipment,465000000.0,467000000.0,555400000.0,582600000.0
totalCurrentAssets,2358000000.0,2763800000.0,2654800000.0,1546000000.0
longTermInvestments,39000000.0,45400000.0,19700000.0,
netTangibleAssets,-3440000000.0,-3248500000.0,-2797500000.0,-2745700000.0
shortTermInvestments,67000000.0,235700000.0,43200000.0,1400000.0
netReceivables,384000000.0,716100000.0,580300000.0,357800000.0
longTermDebt,2279000000.0,2277900000.0,2626800000.0,1638400000.0
accountsPayable,135000000.0,120800000.0,133600000.0,108400000.0
