Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,9841000000,9119000000,8708000000,7694000000
effectOfAccountingCharges,,,,
incomeBeforeTax,19014000000,18934000000,24402000000,23064000000
minorityInterest,,,,
netIncome,16002000000,16436000000,20642000000,18936000000
sellingGeneralAdministrative,10287000000,9199000000,11744000000,8772000000
grossProfit,39581000000,38412000000,42337000000,37497000000
ebit,19453000000,20094000000,21885000000,21031000000
operatingIncome,19453000000,20094000000,21885000000,21031000000
otherOperatingExpenses,,,,
interestExpense,-83000000,-83000000,-117000000,-77000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3012000000,2498000000,3760000000,4128000000
totalRevenue,69685000000,68011000000,75325000000,65118000000
totalOperatingExpenses,50232000000,47917000000,53440000000,44087000000
costOfRevenue,30104000000,29599000000,32988000000,27621000000
totalOtherIncomeExpenseNet,-439000000,-1160000000,2517000000,2033000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,16002000000,16436000000,20642000000,18936000000
netIncomeApplicableToCommonShares,16002000000,16436000000,20642000000,18936000000
intangibleAssets,1377000000,1313000000,1417000000,1549000000
totalLiab,99766000000,103092000000,107633000000,102836000000
totalStockholderEquity,255419000000,254004000000,251635000000,244567000000
otherCurrentLiab,28053000000,31674000000,29208000000,31814000000
totalAssets,355185000000,357096000000,359268000000,347403000000
commonStock,64402000000,62832000000,61774000000,61193000000
otherCurrentAssets,8321000000,6892000000,7054000000,6029000000
retainedEarnings,196845000000,195221000000,191484000000,183782000000
otherLiab,11981000000,14990000000,17173000000,15295000000
goodWill,23949000000,23010000000,22956000000,22623000000
treasuryStock,-5828000000,-4049000000,-1623000000,-408000000
otherAssets,7202000000,7166000000,6645000000,5028000000
cash,17936000000,20886000000,20945000000,23719000000
totalCurrentLiabilities,61354000000,61948000000,64254000000,61782000000
deferredLongTermAssetCharges,1490000000,1388000000,1284000000,1195000000
otherStockholderEquity,-5828000000,-4049000000,-1623000000,-408000000
propertyPlantEquipment,119621000000,117210000000,110558000000,107549000000
totalCurrentAssets,172371000000,177853000000,188143000000,184110000000
longTermInvestments,30665000000,30544000000,29549000000,26544000000
netTangibleAssets,230093000000,229681000000,227262000000,220395000000
shortTermInvestments,107061000000,113084000000,118704000000,118284000000
netReceivables,37073000000,35622000000,40270000000,34800000000
longTermDebt,12850000000,12847000000,12844000000,12841000000
inventory,1980000000,1369000000,1170000000,1278000000
accountsPayable,4409000000,3436000000,6037000000,4616000000
