Breakdown,2022-07-02,2022-04-02,2021-12-25,2021-09-25
researchDevelopment,4400000000,4362000000,4049000000,3803000000
effectOfAccountingCharges,,,,
incomeBeforeTax,-909000000,9661000000,5194000000,6858000000
minorityInterest,,,,
netIncome,-454000000,8113000000,4623000000,6823000000
sellingGeneralAdministrative,1800000000,1752000000,1942000000,1674000000
grossProfit,5587000000,9244000000,11009000000,10746000000
ebit,-613000000,3130000000,5018000000,5269000000
operatingIncome,-613000000,3130000000,5018000000,5269000000
otherOperatingExpenses,,,,
interestExpense,-109000000,-124000000,-134000000,-144000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-455000000,1548000000,571000000,35000000
totalRevenue,15321000000,18353000000,20528000000,19192000000
totalOperatingExpenses,15934000000,15223000000,15510000000,13923000000
costOfRevenue,9734000000,9109000000,9519000000,8446000000
totalOtherIncomeExpenseNet,-296000000,6531000000,176000000,1589000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-454000000,8113000000,4623000000,6823000000
netIncomeApplicableToCommonShares,-454000000,8113000000,4623000000,6823000000
intangibleAssets,6427000000.0,6813000000.0,7270000000.0,7684000000.0
totalLiab,69200000000.0,73220000000.0,73015000000.0,77875000000.0
totalStockholderEquity,101218000000.0,103136000000.0,95391000000.0,90087000000.0
otherCurrentLiab,1239000000.0,625000000.0,2555000000.0,556000000.0
totalAssets,170418000000.0,176356000000.0,168406000000.0,167962000000.0
commonStock,29858000000.0,29244000000.0,28006000000.0,27592000000.0
otherCurrentAssets,4832000000.0,4076000000.0,8897000000.0,8260000000.0
retainedEarnings,72985000000.0,74894000000.0,68265000000.0,63642000000.0
otherLiab,9434000000.0,11110000000.0,11748000000.0,12693000000.0
goodWill,27587000000.0,27011000000.0,26963000000.0,26786000000.0
treasuryStock,-1625000000.0,-1002000000.0,-880000000.0,-1147000000.0
otherAssets,8227000000.0,7210000000.0,5523000000.0,5452000000.0
cash,4390000000.0,6215000000.0,4827000000.0,7870000000.0
totalCurrentLiabilities,27218000000.0,29322000000.0,27462000000.0,29572000000.0
shortLongTermDebt,2882000000.0,4459000000.0,4656000000.0,4694000000.0
otherStockholderEquity,-1625000000.0,-1002000000.0,-880000000.0,-1147000000.0
propertyPlantEquipment,71660000000.0,66718000000.0,63794000000.0,59733000000.0
totalCurrentAssets,50588000000.0,62568000000.0,57718000000.0,61304000000.0
longTermInvestments,5929000000.0,6036000000.0,7138000000.0,7003000000.0
netTangibleAssets,67204000000.0,69312000000.0,61158000000.0,55617000000.0
shortTermInvestments,22654000000.0,32481000000.0,2103000000.0,4004000000.0
netReceivables,6538000000.0,7861000000.0,9632000000.0,8611000000.0
longTermDebt,32548000000.0,32788000000.0,33510000000.0,35610000000.0
inventory,12174000000.0,11935000000.0,10776000000.0,9798000000.0
accountsPayable,7945000000.0,7210000000.0,5747000000.0,6792000000.0
deferredLongTermAssetCharges,,,874000000.0,
