Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,6849000000,6306000000,5758000000,5599000000
effectOfAccountingCharges,,,,
incomeBeforeTax,20487000000,20190000000,22515000000,20524000000
minorityInterest,,,,
netIncome,16740000000,16728000000,18765000000,20505000000
sellingGeneralAdministrative,8053000000,7075000000,6763000000,5834000000
grossProfit,35436000000,33745000000,34768000000,31671000000
ebit,20534000000,20364000000,22247000000,20238000000
operatingIncome,20534000000,20364000000,22247000000,20238000000
otherOperatingExpenses,,,,
interestExpense,-492000000,-499000000,-521000000,-535000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3747000000,3462000000,3750000000,19000000
totalRevenue,51865000000,49360000000,51728000000,45317000000
totalOperatingExpenses,31331000000,28996000000,29481000000,25079000000
costOfRevenue,16429000000,15615000000,16960000000,13646000000
totalOtherIncomeExpenseNet,-47000000,-174000000,268000000,286000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,16740000000,16728000000,18765000000,20505000000
netIncomeApplicableToCommonShares,16740000000,16728000000,18765000000,20505000000
intangibleAssets,11298000000.0,11348000000.0,7462000000.0,7794000000.0
totalLiab,198298000000.0,181683000000.0,180379000000.0,183440000000.0
totalStockholderEquity,166542000000.0,162924000000.0,160010000000.0,151978000000.0
otherCurrentLiab,59384000000.0,47391000000.0,46346000000.0,52622000000.0
totalAssets,364840000000.0,344607000000.0,340389000000.0,335418000000.0
commonStock,86939000000.0,85767000000.0,84528000000.0,83751000000.0
otherCurrentAssets,16932000000.0,13353000000.0,12301000000.0,12982000000.0
retainedEarnings,84281000000.0,79633000000.0,75045000000.0,66944000000.0
otherLiab,30853000000.0,31159000000.0,30584000000.0,30157000000.0
goodWill,67524000000.0,67371000000.0,50921000000.0,50455000000.0
treasuryStock,-4678000000.0,-2476000000.0,437000000.0,1283000000.0
otherAssets,21897000000.0,21845000000.0,21256000000.0,21103000000.0
cash,13931000000.0,12498000000.0,20604000000.0,19165000000.0
totalCurrentLiabilities,95082000000.0,77439000000.0,77510000000.0,80528000000.0
deferredLongTermAssetCharges,13515000000.0,,,
shortLongTermDebt,2749000000.0,1749000000.0,4998000000.0,3249000000.0
otherStockholderEquity,-4678000000.0,-2476000000.0,437000000.0,1283000000.0
propertyPlantEquipment,87546000000.0,83214000000.0,79568000000.0,75347000000.0
totalCurrentAssets,169684000000.0,153922000000.0,174188000000.0,174326000000.0
longTermInvestments,6891000000.0,6907000000.0,6994000000.0,6393000000.0
netTangibleAssets,87720000000.0,84205000000.0,101627000000.0,93729000000.0
shortTermInvestments,90818000000.0,92162000000.0,104744000000.0,111419000000.0
netReceivables,44261000000.0,32613000000.0,33520000000.0,27349000000.0
longTermDebt,47032000000.0,48177000000.0,48260000000.0,50039000000.0
inventory,3742000000.0,3296000000.0,3019000000.0,3411000000.0
accountsPayable,19000000000.0,16085000000.0,15314000000.0,14832000000.0
