Breakdown,2022-05-01,2022-01-30,2021-10-31,2021-08-01
researchDevelopment,1618000000,1466000000,1403000000,1245000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1805000000,2865000000,2638000000,2394000000
minorityInterest,,,,
netIncome,1618000000,3003000000,2464000000,2374000000
sellingGeneralAdministrative,592000000,563000000,557000000,526000000
grossProfit,5431000000,4999000000,4631000000,4215000000
ebit,3221000000,2970000000,2671000000,2444000000
operatingIncome,3221000000,2970000000,2671000000,2444000000
otherOperatingExpenses,,,,
interestExpense,-68000000,-61000000,-62000000,-60000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,187000000,-138000000,174000000,20000000
totalRevenue,8288000000,7643000000,7103000000,6507000000
totalOperatingExpenses,5067000000,4673000000,4432000000,4063000000
costOfRevenue,2857000000,2644000000,2472000000,2292000000
totalOtherIncomeExpenseNet,-1416000000,-105000000,-33000000,-50000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1618000000,3003000000,2464000000,2374000000
netIncomeApplicableToCommonShares,1618000000,3003000000,2464000000,2374000000
intangibleAssets,2211000000.0,2339000000.0,2454000000.0,2478000000.0
capitalSurplus,10623000000.0,10385000000.0,10465000000.0,9745000000.0
totalLiab,18892000000.0,17575000000.0,16834000000.0,17503000000.0
totalStockholderEquity,26320000000.0,26612000000.0,23798000000.0,21147000000.0
otherCurrentLiab,3089000000.0,1999000000.0,1446000000.0,1342000000.0
totalAssets,45212000000.0,44187000000.0,40632000000.0,38650000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
retainedEarnings,15758000000.0,16235000000.0,25359000000.0,22995000000.0
otherLiab,1631000000.0,1553000000.0,1535000000.0,1396000000.0
goodWill,4365000000.0,4349000000.0,4302000000.0,4193000000.0
treasuryStock,-64000000.0,-11000000.0,-12029000000.0,-11596000000.0
otherAssets,5004000000.0,4797000000.0,4423000000.0,2861000000.0
cash,3887000000.0,1990000000.0,1288000000.0,5628000000.0
totalCurrentLiabilities,5562000000.0,4335000000.0,3612000000.0,4448000000.0
deferredLongTermAssetCharges,1784000000.0,1222000000.0,970000000.0,958000000.0
otherStockholderEquity,-64000000.0,-11000000.0,9000000.0,8000000.0
propertyPlantEquipment,3772000000.0,3607000000.0,3339000000.0,3165000000.0
totalCurrentAssets,29575000000.0,28829000000.0,25806000000.0,25806000000.0
longTermInvestments,285000000.0,266000000.0,308000000.0,147000000.0
netTangibleAssets,19744000000.0,19924000000.0,17042000000.0,14476000000.0
shortTermInvestments,16451000000.0,19218000000.0,18010000000.0,14026000000.0
netReceivables,5438000000.0,4650000000.0,3954000000.0,3586000000.0
longTermDebt,10947000000.0,10946000000.0,10944000000.0,10943000000.0
inventory,3163000000.0,2605000000.0,2233000000.0,2114000000.0
accountsPayable,1999000000.0,1783000000.0,1664000000.0,1474000000.0
otherCurrentAssets,,,,257000000.0
shortLongTermDebt,,,,1000000000.0
