Breakdown,2022-06-30,2022-03-31,2021-12-31,2021-09-30
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-163000000,931000000,229000000,688000000
minorityInterest,,,,
netIncome,-108000000,713000000,422000000,691000000
sellingGeneralAdministrative,5608000000,5001000000,5165000000,4772000000
grossProfit,11953000000,11805000000,11338000000,11456000000
ebit,2854000000,3219000000,2301000000,2539000000
operatingIncome,2854000000,3219000000,2301000000,2539000000
otherOperatingExpenses,,,,
interestExpense,-851000000,-864000000,-834000000,-838000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-55000000,218000000,-193000000,-3000000
totalRevenue,19701000000,20120000000,20785000000,19624000000
totalOperatingExpenses,16847000000,16901000000,18484000000,17085000000
costOfRevenue,7748000000,8315000000,9447000000,8168000000
totalOtherIncomeExpenseNet,-3017000000,-2288000000,-2072000000,-1851000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-108000000,713000000,422000000,691000000
netIncomeApplicableToCommonShares,-108000000,713000000,422000000,691000000
intangibleAssets,99772000000,97109000000,97339000000,97636000000
capitalSurplus,73552000000,73420000000,73292000000,73152000000
totalLiab,139429000000,140677000000,137461000000,133698000000
totalStockholderEquity,70034000000,69976000000,69102000000,68427000000
deferredLongTermLiab,1700000000,1600000000,1500000000,1300000000
otherCurrentLiab,2770000000,1801000000,2294000000,2128000000
totalAssets,209463000000,210653000000,206563000000,202125000000
otherCurrentAssets,1484000000,1691000000,1786000000,1375000000
retainedEarnings,-2207000000,-2099000000,-2812000000,-3234000000
otherLiab,14241000000,14228000000,15313000000,15584000000
goodWill,12234000000,12234000000,12188000000,12188000000
treasuryStock,-1311000000,-1345000000,-1378000000,-1491000000
otherAssets,6038000000,9113000000,6061000000,5332000000
cash,3151000000,3245000000,6631000000,4055000000
totalCurrentLiabilities,20622000000,21423000000,23499000000,19247000000
shortLongTermDebt,2942000000,4115000000,5623000000,4336000000
otherStockholderEquity,-1295000000,-1329000000,-1365000000,-1478000000
propertyPlantEquipment,73943000000,74742000000,70084000000,70197000000
totalCurrentAssets,17476000000,17455000000,20891000000,16772000000
netTangibleAssets,-41972000000,-39367000000,-40425000000,-41397000000
netReceivables,9822000000,9077000000,9161000000,8637000000
longTermDebt,68047000000,68355000000,68570000000,68139000000
inventory,2243000000,2715000000,2567000000,1762000000
accountsPayable,6292000000,11134000000,6499000000,4101000000
